car,overall_position,class_position,team,vehicle,class,group,race,event_duration,season,laps,total_time,gap_first,gap_car_ahead,tyres,status,fl_lap_number,fl_time,fl_kph_average,driver_1,driver_2,driver_3
Glickenhaus Racing #709,3,3,Glickenhaus Racing,Glickenhaus 007 LMH,HYPERCAR,,LeMans,24,2022,375,24:02:09.625,5 Laps,5 Laps,Michelin,Classified,353.0,3:28.227,235.6,Ryan BRISCOE,Richard WESTBROOK,Franck MAILLEUX
Glickenhaus Racing #708,4,4,Glickenhaus Racing,Glickenhaus 007 LMH,HYPERCAR,,LeMans,24,2022,370,24:04:07.641,10 Laps,5 Laps,Michelin,Classified,348.0,3:27.765,236.1,Olivier PLA,Romain DUMAS,Luis Felipe DERANI
JOTA #38,5,1,JOTA,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,369,24:02:12.363,11 Laps,1 Laps,Goodyear,Classified,295.0,3:31.721,231.7,Roberto GONZALEZ,Antonio Felix DA COSTA,William STEVENS
Prema Orlen Team #9,6,2,Prema Orlen Team,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,369,24:04:34.283,11 Laps,2'21.920,Goodyear,Classified,137.0,3:32.335,231.0,Robert KUBICA,Louis DELETRAZ,Lorenzo COLOMBO
JOTA #28,7,3,JOTA,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,368,24:02:12.423,12 Laps,1 Laps,Goodyear,Classified,173.0,3:32.750,230.6,Oliver RASMUSSEN,Edward JONES,Jonathan ABERDEIN
TDS Racing x Vaillante #13,8,4,TDS Racing x Vaillante,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,368,24:03:06.649,12 Laps,54.226,Goodyear,Classified,274.0,3:31.728,231.7,Nyck DE VRIES,Mathias BECHE,Tijmen VAN DER HELM
Team Penske #5,9,5,Team Penske,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,368,24:03:31.822,12 Laps,25.173,Goodyear,Classified,299.0,3:31.910,231.5,Dane CAMERON,Emmanuel COLLARD,Felipe NASR
United Autosports USA #23,10,6,United Autosports USA,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,368,24:04:42.738,12 Laps,1'10.916,Goodyear,Classified,299.0,3:32.436,230.9,Alexander LYNN,Oliver JARVIS,Joshua PIERSON
COOL Racing #37,11,7,COOL Racing,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,367,24:04:55.347,13 Laps,1 Laps,Goodyear,Classified,286.0,3:31.421,232.0,Yifei YE,Ricky TAYLOR,Niklas KRUETTEN
IDEC Sport #48,12,8,IDEC Sport,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,366,24:02:31.743,14 Laps,1 Laps,Goodyear,Classified,292.0,3:31.601,231.8,Paul LAFARGUE,Paul Loup CHATIN,Patrick PILET
Richard Mille Racing Team #1,13,9,Richard Mille Racing Team,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,366,24:04:14.706,14 Laps,1'42.963,Goodyear,Classified,353.0,3:33.513,229.7,Lilou WADOUX,Sébastien OGIER,Charles MILESI
United Autosports USA #22,14,10,United Autosports USA,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,366,24:04:25.531,14 Laps,10.825,Goodyear,Classified,254.0,3:32.628,230.7,Philip HANSON,Filipe ALBUQUERQUE,Will OWEN
Team WRT #32,15,11,Team WRT,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,366,24:04:27.465,14 Laps,1.934,Goodyear,Classified,218.0,3:30.946,232.5,Rolf INEICHEN,Mirko BORTOLOTTI,Dries VANTHOOR
Panis Racing #65,16,12,Panis Racing,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,366,24:05:17.854,14 Laps,50.389,Goodyear,Classified,281.0,3:31.097,232.4,Julien CANAL,Nicolas JAMIN,Job VAN UITERT
Inter Europol Competition #34,17,13,Inter Europol Competition,Oreca 07 - Gibson,LMP2,,LeMans,24,2022,365,24:05:17.662,15 Laps,1 Laps,Goodyear,Classified,326.0,3:33.663,229.6,Jakub SMIECHOWSKI,Alex BRUNDLE,Esteban GUTIERREZ
