car,overall_position,class_position,team,vehicle,class,group,race,event_duration,season,laps,total_time,gap_first,gap_car_ahead,tyres,status,fl_lap_number,fl_time,fl_kph_average,driver_1,driver_2,driver_3
Bykolles Racing Team #4,11,8,Bykolles Racing Team,CLM P1/01 - AER,LMP1,,Cota,6,2016,170,6:03:29.782,16 Laps,1 Laps,Dunlop,Classified,3.0,1:55.889,171.4,Simon TRUMMER,Oliver WEBB,
SMP Racing #27,12,4,SMP Racing,BR01 - Nissan,LMP2,,Cota,6,2016,168,6:02:08.108,18 Laps,2 Laps,Dunlop,Classified,6.0,1:59.634,166.0,Nicolas MINASSIAN,Maurizio MEDIANI,
Extreme Speed Motorsports #31,13,5,Extreme Speed Motorsports,LIGIER JS P2 - Nissan,LMP2,,Cota,6,2016,168,6:02:13.881,18 Laps,5.773,Michelin,Classified,93.0,1:58.914,167.0,Ryan DALZIEL,Luis Felipe DERANI,Christopher CUMMING
SMP Racing #37,14,6,SMP Racing,BR01 - Nissan,LMP2,,Cota,6,2016,167,6:02:11.226,19 Laps,1 Laps,Dunlop,Classified,74.0,1:59.920,165.6,Vitaly PETROV,Kirill LADYGIN,Victor SHAITAR
Extreme Speed Motorsports #30,15,7,Extreme Speed Motorsports,LIGIER JS P2 - Nissan,LMP2,,Cota,6,2016,166,6:03:22.171,20 Laps,1 Laps,Michelin,Classified,63.0,1:59.316,166.4,Scott SHARP,Ed BROWN,Johannes VAN OVERBEEK
Aston Martin Racing #95,16,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Cota,6,2016,163,6:03:16.546,23 Laps,3 Laps,Dunlop,Classified,85.0,2:05.405,158.3,Nicki THIIM,Marco SØRENSEN,
AF Corse #51,17,2,AF Corse,Ferrari 488 GTE,LMGTE Pro,,Cota,6,2016,163,6:03:28.032,23 Laps,11.486,Michelin,Classified,143.0,2:05.652,158.0,Gianmaria BRUNI,James CALADO,
AF Corse #71,18,3,AF Corse,Ferrari 488 GTE,LMGTE Pro,,Cota,6,2016,162,6:02:11.514,24 Laps,1 Laps,Michelin,Classified,139.0,2:06.058,157.5,Davide RIGON,Sam BIRD,
Ford Chip Ganassi Team UK #67,19,4,Ford Chip Ganassi Team UK,Ford GT,LMGTE Pro,,Cota,6,2016,162,6:02:24.890,24 Laps,13.376,Michelin,Classified,85.0,2:06.276,157.3,Marino FRANCHITTI,Andy PRIAULX,Harry TINCKNELL
Aston Martin Racing #97,20,5,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Cota,6,2016,162,6:02:29.927,24 Laps,5.037,Dunlop,Classified,143.0,2:05.286,158.5,Darren TURNER,Fernando REES,
Dempsey - Proton Racing #77,21,6,Dempsey - Proton Racing,Porsche 911 RSR (2016),LMGTE Pro,,Cota,6,2016,161,6:02:48.564,25 Laps,1 Laps,Michelin,Classified,143.0,2:06.671,156.8,Richard LIETZ,Michael CHRISTENSEN,
Aston Martin Racing #98,22,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Cota,6,2016,158,6:01:33.911,28 Laps,3 Laps,Michelin,Classified,87.0,2:08.340,154.7,Paul DALLA LANA,Pedro LAMY,Mathias LAUDA
KCMG #78,23,2,KCMG,Porsche 911 RSR,LMGTE Am,,Cota,6,2016,158,6:02:36.749,28 Laps,1'02.838,Michelin,Classified,136.0,2:07.527,155.7,Christian RIED,Wolf HENZLER,Joël CAMATHIAS
Larbre Competition #50,24,3,Larbre Competition,Chevrolet Corvette C7-Z06,LMGTE Am,,Cota,6,2016,157,6:03:19.189,29 Laps,1 Laps,Michelin,Classified,93.0,2:08.626,154.4,Lars VILJOEN,Pierre RAGUES,Ricky TAYLOR
Gulf Racing #86,25,4,Gulf Racing,Porsche 911 RSR,LMGTE Am,,Cota,6,2016,153,6:01:42.914,33 Laps,4 Laps,Michelin,Classified,132.0,2:08.267,154.8,Michael WAINWRIGHT,Adam CARROLL,Ben BARKER
Baxi DC Racing Alpine #35,26,8,Baxi DC Racing Alpine,Alpine A460 - Nissan,LMP2,,Cota,6,2016,153,6:02:59.944,33 Laps,1'17.030,Dunlop,Classified,103.0,1:58.194,168.0,David CHENG,Ho-Pin TUNG,Nelson PANCIATICI
Abu Dhabi-Proton Racing #88,27,5,Abu Dhabi-Proton Racing,Porsche 911 RSR,LMGTE Am,,Cota,6,2016,153,6:03:00.111,33 Laps,0.167,Michelin,Classified,129.0,2:07.790,155.4,Khaled AL QUBAISI,David HEINEMEIER HANSSON,Kevin ESTRE
AF Corse #83,28,6,AF Corse,Ferrari F458 Italia,LMGTE Am,,Cota,6,2016,147,6:02:31.207,39 Laps,6 Laps,Michelin,Classified,78.0,2:09.705,153.1,François PERRODO,Emmanuel COLLARD,Rui AGUAS
Ford Chip Ganassi Team UK #66,29,7,Ford Chip Ganassi Team UK,Ford GT,LMGTE Pro,,Cota,6,2016,144,6:02:41.075,42 Laps,3 Laps,Michelin,Classified,105.0,2:05.244,158.6,Stefan MÜCKE,Olivier PLA,
Manor #44,30,9,Manor,Oreca 05 - Nissan,LMP2,,Cota,6,2016,157,5:39:23.349,29 Laps,-13 Laps,Dunlop,Not classified,72.0,1:57.816,168.5,Matthew RAO,Richard BRADLEY,Roberto MERHI
Strakka Racing #42,31,10,Strakka Racing,Gibson 015S - Nissan,LMP2,,Cota,6,2016,58,3:47:37.329,128 Laps,99 Laps,Dunlop,Not classified,56.0,1:58.198,168.0,Nick LEVENTIS,Lewis WILLIAMSON,Jonny KANE
Toyota Gazoo Racing #6,1,1,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,H,Fuji,6,2016,244,6:00:37.284,,,Michelin,Classified,3.0,1:25.320,192.5,Stéphane SARRAZIN,Mike CONWAY,Kamui KOBAYASHI
Audi Sport Team Joest #8,2,2,Audi Sport Team Joest,Audi R18,LMP1,H,Fuji,6,2016,244,6:00:38.723,1.439,1.439,Michelin,Classified,212.0,1:24.645,194.1,Lucas DI GRASSI,Loïc DUVAL,Oliver JARVIS
Porsche Team #1,3,3,Porsche Team,Porsche 919 Hybrid,LMP1,H,Fuji,6,2016,244,6:00:54.623,17.339,15.900,Michelin,Classified,6.0,1:25.311,192.6,Timo BERNHARD,Mark WEBBER,Brendon HARTLEY
Toyota Gazoo Racing #5,4,4,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,H,Fuji,6,2016,244,6:01:31.063,53.779,36.440,Michelin,Classified,4.0,1:25.377,192.4,Anthony DAVIDSON,Sébastien BUEMI,Kazuki NAKAJIMA
Porsche Team #2,5,5,Porsche Team,Porsche 919 Hybrid,LMP1,H,Fuji,6,2016,243,6:00:47.939,1 Laps,1 Laps,Michelin,Classified,204.0,1:25.473,192.2,Romain DUMAS,Neel JANI,Marc LIEB
Rebellion Racing #13,6,6,Rebellion Racing,Rebellion R-One - AER,LMP1,,Fuji,6,2016,229,6:00:51.150,15 Laps,14 Laps,Dunlop,Classified,111.0,1:29.901,182.7,Mathéo TUSCHER,Dominik KRAIHAMER,Alexandre IMPERATORI
G-Drive Racing #26,7,1,G-Drive Racing,Oreca 05 - Nissan,LMP2,,Fuji,6,2016,223,6:00:54.127,21 Laps,6 Laps,Dunlop,Classified,4.0,1:33.011,176.6,Roman RUSINOV,Alex BRUNDLE,Will STEVENS
RGR Sport by Morand #43,8,2,RGR Sport by Morand,LIGIER JS P2 - Nissan,LMP2,,Fuji,6,2016,223,6:00:55.525,21 Laps,1.398,Dunlop,Classified,5.0,1:32.968,176.7,Ricardo GONZALEZ,Filipe ALBUQUERQUE,Bruno SENNA
Signatech Alpine #36,9,3,Signatech Alpine,Alpine A460 - Nissan,LMP2,,Fuji,6,2016,223,6:01:21.750,21 Laps,26.225,Dunlop,Classified,3.0,1:33.361,175.9,Gustavo MENEZES,Nicolas LAPIERRE,Stéphane RICHELMI
Extreme Speed Motorsports #30,10,4,Extreme Speed Motorsports,LIGIER JS P2 - Nissan,LMP2,,Fuji,6,2016,223,6:01:45.443,21 Laps,23.693,Dunlop,Classified,10.0,1:33.245,176.2,Antonio GIOVINAZZI,Giedo VAN DER GARDE,Sean GELAEL
Extreme Speed Motorsports #31,11,5,Extreme Speed Motorsports,LIGIER JS P2 - Nissan,LMP2,,Fuji,6,2016,222,6:00:38.760,22 Laps,1 Laps,Dunlop,Classified,194.0,1:33.354,176.0,Ryan DALZIEL,Luis Felipe DERANI,Christopher CUMMING
Strakka Racing #42,12,6,Strakka Racing,Gibson 015S - Nissan,LMP2,,Fuji,6,2016,222,6:00:45.600,22 Laps,6.840,Dunlop,Classified,9.0,1:33.910,174.9,Jonny KANE,Lewis WILLIAMSON,
Manor #44,13,7,Manor,Oreca 05 - Nissan,LMP2,,Fuji,6,2016,222,6:01:05.157,22 Laps,19.557,Dunlop,Classified,135.0,1:33.450,175.8,Matthew RAO,Richard BRADLEY,Roberto MERHI
SMP Racing #27,14,8,SMP Racing,BR01 - Nissan,LMP2,,Fuji,6,2016,222,6:01:45.418,22 Laps,40.261,Dunlop,Classified,8.0,1:34.159,174.5,Nicolas MINASSIAN,Maurizio MEDIANI,Mikhail ALESHIN
Baxi DC Racing Alpine #35,15,9,Baxi DC Racing Alpine,Alpine A460 - Nissan,LMP2,,Fuji,6,2016,221,6:01:58.848,23 Laps,1 Laps,Dunlop,Classified,214.0,1:33.214,176.2,David CHENG,Ho-Pin TUNG,Paul Loup CHATIN
SMP Racing #37,16,10,SMP Racing,BR01 - Nissan,LMP2,,Fuji,6,2016,220,6:01:33.739,24 Laps,1 Laps,Dunlop,Classified,8.0,1:34.002,174.7,Vitaly PETROV,Kirill LADYGIN,Victor SHAITAR
Ford Chip Ganassi Team UK #67,17,1,Ford Chip Ganassi Team UK,Ford GT,LMGTE Pro,,Fuji,6,2016,212,6:00:54.068,32 Laps,8 Laps,Michelin,Classified,5.0,1:38.575,166.6,Andy PRIAULX,Harry TINCKNELL,
Ford Chip Ganassi Team UK #66,18,2,Ford Chip Ganassi Team UK,Ford GT,LMGTE Pro,,Fuji,6,2016,212,6:01:09.574,32 Laps,15.506,Michelin,Classified,6.0,1:38.712,166.4,Stefan MÜCKE,Olivier PLA,
AF Corse #51,19,3,AF Corse,Ferrari 488 GTE,LMGTE Pro,,Fuji,6,2016,212,6:01:35.208,32 Laps,25.634,Michelin,Classified,5.0,1:39.096,165.8,Gianmaria BRUNI,James CALADO,
AF Corse #71,20,4,AF Corse,Ferrari 488 GTE,LMGTE Pro,,Fuji,6,2016,212,6:01:43.343,32 Laps,8.135,Michelin,Classified,192.0,1:38.994,165.9,Davide RIGON,Sam BIRD,
Aston Martin Racing #95,21,5,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Fuji,6,2016,211,6:00:40.553,33 Laps,1 Laps,Dunlop,Classified,5.0,1:39.169,165.6,Nicki THIIM,Marco SØRENSEN,
Aston Martin Racing #97,22,6,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Fuji,6,2016,211,6:01:42.967,33 Laps,1'02.414,Dunlop,Classified,188.0,1:39.463,165.2,Richie STANAWAY,Darren TURNER,
Dempsey - Proton Racing #77,23,7,Dempsey - Proton Racing,Porsche 911 RSR (2016),LMGTE Pro,,Fuji,6,2016,210,6:00:39.697,34 Laps,1 Laps,Michelin,Classified,4.0,1:39.672,164.8,Richard LIETZ,Michael CHRISTENSEN,
Aston Martin Racing #98,24,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Fuji,6,2016,208,6:00:52.206,36 Laps,2 Laps,Michelin,Classified,5.0,1:40.052,164.2,Paul DALLA LANA,Pedro LAMY,Mathias LAUDA
AF Corse #83,25,2,AF Corse,Ferrari F458 Italia,LMGTE Am,,Fuji,6,2016,207,6:01:15.242,37 Laps,1 Laps,Michelin,Classified,5.0,1:40.427,163.6,François PERRODO,Emmanuel COLLARD,Rui AGUAS
KCMG #78,26,3,KCMG,Porsche 911 RSR,LMGTE Am,,Fuji,6,2016,206,6:01:02.238,38 Laps,1 Laps,Michelin,Classified,175.0,1:40.910,162.8,Christian RIED,Wolf HENZLER,Joël CAMATHIAS
Gulf Racing #86,27,4,Gulf Racing,Porsche 911 RSR,LMGTE Am,,Fuji,6,2016,205,6:01:08.259,39 Laps,1 Laps,Michelin,Classified,3.0,1:40.722,163.1,Michael WAINWRIGHT,Adam CARROLL,Ben BARKER
Abu Dhabi-Proton Racing #88,28,5,Abu Dhabi-Proton Racing,Porsche 911 RSR,LMGTE Am,,Fuji,6,2016,200,6:02:08.554,44 Laps,5 Laps,Michelin,Classified,169.0,1:41.589,161.7,Khaled AL QUBAISI,David HEINEMEIER HANSSON,Patrick LONG
Manor #45,29,11,Manor,Oreca 05 - Nissan,LMP2,,Fuji,6,2016,190,6:00:56.348,54 Laps,10 Laps,Dunlop,Classified,164.0,1:32.948,176.7,Tor GRAVES,Alex LYNN,Shinji NAKANO
Larbre Competition #50,30,6,Larbre Competition,Chevrolet Corvette C7-Z06,LMGTE Am,,Fuji,6,2016,147,6:01:58.170,97 Laps,43 Laps,Michelin,Classified,4.0,1:40.340,163.7,Yutaka YAMAGISHI,Pierre RAGUES,Ricky TAYLOR
Bykolles Racing Team #4,31,7,Bykolles Racing Team,CLM P1/01 - AER,LMP1,,Fuji,6,2016,79,2:06:47.385,165 Laps,68 Laps,Dunlop,Not classified,3.0,1:30.658,181.2,Simon TRUMMER,Oliver WEBB,Pierre KAFFER
Audi Sport Team Joest #7,32,8,Audi Sport Team Joest,Audi R18,LMP1,H,Fuji,6,2016,36,2:14:59.874,208 Laps,43 Laps,Michelin,Not classified,4.0,1:25.476,192.2,Marcel FÄSSLER,André LOTTERER,Benoît TRÉLUYER
Porsche Team #1,1,1,Porsche Team,Porsche 919 Hybrid,LMP1,H,Nurburgring,6,2016,194,6:01:16.183,,,Michelin,Classified,4.0,1:40.609,183.8,Timo BERNHARD,Mark WEBBER,Brendon HARTLEY
Audi Sport Team Joest #8,2,2,Audi Sport Team Joest,Audi R18,LMP1,H,Nurburgring,6,2016,194,6:02:09.970,53.787,53.787,Michelin,Classified,4.0,1:40.779,183.5,Lucas DI GRASSI,Loïc DUVAL,Oliver JARVIS
Audi Sport Team Joest #7,3,3,Audi Sport Team Joest,Audi R18,LMP1,H,Nurburgring,6,2016,194,6:02:10.666,54.483,0.696,Michelin,Classified,5.0,1:40.325,184.3,Marcel FÄSSLER,André LOTTERER,
Porsche Team #2,4,4,Porsche Team,Porsche 919 Hybrid,LMP1,H,Nurburgring,6,2016,194,6:02:53.507,1'37.324,42.841,Michelin,Classified,4.0,1:40.844,183.4,Romain DUMAS,Neel JANI,Marc LIEB
Toyota Gazoo Racing #5,5,5,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,H,Nurburgring,6,2016,193,6:02:12.111,1 Laps,1 Laps,Michelin,Classified,5.0,1:41.277,182.6,Anthony DAVIDSON,Sébastien BUEMI,Kazuki NAKAJIMA
Toyota Gazoo Racing #6,6,6,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,H,Nurburgring,6,2016,190,6:02:11.041,4 Laps,3 Laps,Michelin,Classified,5.0,1:41.472,182.2,Stéphane SARRAZIN,Mike CONWAY,Kamui KOBAYASHI
Rebellion Racing #13,7,7,Rebellion Racing,Rebellion R-One - AER,LMP1,,Nurburgring,6,2016,178,6:01:27.849,16 Laps,12 Laps,Dunlop,Classified,134.0,1:47.335,172.3,Mathéo TUSCHER,Dominik KRAIHAMER,Alexandre IMPERATORI
Signatech Alpine #36,8,1,Signatech Alpine,Alpine A460 - Nissan,LMP2,,Nurburgring,6,2016,178,6:02:04.105,16 Laps,36.256,Dunlop,Classified,3.0,1:50.852,166.8,Gustavo MENEZES,Nicolas LAPIERRE,Stéphane RICHELMI
RGR Sport by Morand #43,9,2,RGR Sport by Morand,LIGIER JS P2 - Nissan,LMP2,,Nurburgring,6,2016,178,6:02:20.583,16 Laps,16.478,Dunlop,Classified,125.0,1:51.124,166.4,Ricardo GONZALEZ,Filipe ALBUQUERQUE,Bruno SENNA
Extreme Speed Motorsports #31,10,3,Extreme Speed Motorsports,LIGIER JS P2 - Nissan,LMP2,,Nurburgring,6,2016,176,6:01:51.645,18 Laps,2 Laps,Michelin,Classified,131.0,1:51.277,166.2,Ryan DALZIEL,Luis Felipe DERANI,Christopher CUMMING
Strakka Racing #42,11,4,Strakka Racing,Gibson 015S - Nissan,LMP2,,Nurburgring,6,2016,176,6:01:51.716,18 Laps,0.071,Dunlop,Classified,5.0,1:51.005,166.6,Nick LEVENTIS,Jonny KANE,Lewis WILLIAMSON
Manor #44,12,5,Manor,Oreca 05 - Nissan,LMP2,,Nurburgring,6,2016,176,6:02:09.481,18 Laps,17.765,Dunlop,Classified,108.0,1:51.016,166.6,Tor GRAVES,Antonio PIZZONIA,Matthew HOWSON
SMP Racing #37,13,6,SMP Racing,BR01 - Nissan,LMP2,,Nurburgring,6,2016,175,6:01:26.267,19 Laps,1 Laps,Dunlop,Classified,57.0,1:52.459,164.4,Vitaly PETROV,Kirill LADYGIN,Victor SHAITAR
Baxi DC Racing Alpine #35,14,7,Baxi DC Racing Alpine,Alpine A460 - Nissan,LMP2,,Nurburgring,6,2016,175,6:01:55.109,19 Laps,28.842,Dunlop,Classified,78.0,1:51.938,165.2,David CHENG,Ho-Pin TUNG,Nelson PANCIATICI
SMP Racing #27,15,8,SMP Racing,BR01 - Nissan,LMP2,,Nurburgring,6,2016,175,6:02:32.755,19 Laps,37.646,Dunlop,Classified,4.0,1:51.872,165.3,Nicolas MINASSIAN,Maurizio MEDIANI,
Extreme Speed Motorsports #30,16,9,Extreme Speed Motorsports,LIGIER JS P2 - Nissan,LMP2,,Nurburgring,6,2016,172,6:01:37.069,22 Laps,3 Laps,Michelin,Classified,151.0,1:52.473,164.4,Scott SHARP,Ed BROWN,Johannes VAN OVERBEEK
Rebellion Racing #12,17,8,Rebellion Racing,Rebellion R-One - AER,LMP1,,Nurburgring,6,2016,171,6:01:41.647,23 Laps,1 Laps,Dunlop,Classified,4.0,1:47.925,171.4,Nicolas PROST,Nick HEIDFELD,Mathias BECHE
AF Corse #51,18,1,AF Corse,Ferrari 488 GTE,LMGTE Pro,,Nurburgring,6,2016,170,6:02:26.320,24 Laps,1 Laps,Michelin,Classified,149.0,1:57.728,157.1,Gianmaria BRUNI,James CALADO,
AF Corse #71,19,2,AF Corse,Ferrari 488 GTE,LMGTE Pro,,Nurburgring,6,2016,170,6:02:56.050,24 Laps,29.730,Michelin,Classified,149.0,1:57.936,156.8,Davide RIGON,Sam BIRD,
Aston Martin Racing #95,20,3,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Nurburgring,6,2016,170,6:03:13.714,24 Laps,17.664,Dunlop,Classified,3.0,1:57.293,157.7,Nicki THIIM,Marco SØRENSEN,
Ford Chip Ganassi Team UK #66,21,4,Ford Chip Ganassi Team UK,Ford GT,LMGTE Pro,,Nurburgring,6,2016,169,6:01:36.583,25 Laps,1 Laps,Michelin,Classified,147.0,1:57.890,156.9,Stefan MÜCKE,Olivier PLA,
Aston Martin Racing #97,22,5,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Pro,,Nurburgring,6,2016,169,6:02:20.586,25 Laps,44.003,Dunlop,Classified,3.0,1:58.068,156.6,Richie STANAWAY,Darren TURNER,
Dempsey - Proton Racing #77,23,6,Dempsey - Proton Racing,Porsche 911 RSR (2016),LMGTE Pro,,Nurburgring,6,2016,169,6:02:47.886,25 Laps,27.300,Michelin,Classified,149.0,1:58.307,156.3,Richard LIETZ,Michael CHRISTENSEN,
Aston Martin Racing #98,24,1,Aston Martin Racing,Aston Martin Vantage V8,LMGTE Am,,Nurburgring,6,2016,166,6:02:03.608,28 Laps,3 Laps,Dunlop,Classified,3.0,1:59.894,154.2,Paul DALLA LANA,Pedro LAMY,Mathias LAUDA
AF Corse #83,25,2,AF Corse,Ferrari F458 Italia,LMGTE Am,,Nurburgring,6,2016,166,6:03:05.809,28 Laps,1'02.201,Michelin,Classified,124.0,1:59.658,154.6,François PERRODO,Emmanuel COLLARD,Rui AGUAS
Larbre Competition #50,26,3,Larbre Competition,Chevrolet Corvette C7-Z06,LMGTE Am,,Nurburgring,6,2016,165,6:01:25.033,29 Laps,1 Laps,Michelin,Classified,139.0,1:59.203,155.1,Yutaka YAMAGISHI,Pierre RAGUES,Paolo RUBERTI
Abu Dhabi-Proton Racing #88,27,4,Abu Dhabi-Proton Racing,Porsche 911 RSR,LMGTE Am,,Nurburgring,6,2016,164,6:01:38.864,30 Laps,1 Laps,Michelin,Classified,143.0,1:59.408,154.9,Khaled AL QUBAISI,David HEINEMEIER HANSSON,Patrick LONG
Gulf Racing #86,28,5,Gulf Racing,Porsche 911 RSR,LMGTE Am,,Nurburgring,6,2016,164,6:02:55.362,30 Laps,1'16.498,Michelin,Classified,123.0,2:00.073,154.0,Michael WAINWRIGHT,Adam CARROLL,Ben BARKER
Ford Chip Ganassi Team UK #67,29,7,Ford Chip Ganassi Team UK,Ford GT,LMGTE Pro,,Nurburgring,6,2016,155,6:03:04.876,39 Laps,9 Laps,Michelin,Classified,133.0,1:57.297,157.7,Marino FRANCHITTI,Andy PRIAULX,Harry TINCKNELL
Manor #45,30,10,Manor,Oreca 05 - Nissan,LMP2,,Nurburgring,6,2016,149,5:03:58.056,45 Laps,6 Laps,Dunlop,Not classified,4.0,1:51.381,166.0,Matthew RAO,Richard BRADLEY,Roberto MERHI
Bykolles Racing Team #4,31,9,Bykolles Racing Team,CLM P1/01 - AER,LMP1,,Nurburgring,6,2016,98,3:12:07.342,96 Laps,51 Laps,Dunlop,Not classified,6.0,1:47.806,171.5,Simon TRUMMER,Oliver WEBB,Pierre KAFFER
G-Drive Racing #26,32,11,G-Drive Racing,Oreca 05 - Nissan,LMP2,,Nurburgring,6,2016,74,2:26:40.040,120 Laps,24 Laps,Dunlop,Not classified,4.0,1:49.864,168.3,Roman RUSINOV,René RAST,Alex BRUNDLE
KCMG #78,33,6,KCMG,Porsche 911 RSR,LMGTE Am,,Nurburgring,6,2016,166,6:02:32.787,28 Laps,-92 Laps,Michelin,Excluded,3.0,1:59.893,154.2,Christian RIED,Wolf HENZLER,Joël CAMATHIAS
Porsche Team #2,1,1,Porsche Team,Porsche 919 Hybrid,LMP1,H,LeMans,24,2016,384,24:00:38.449,,,Michelin,Classified,92.0,3:21.756,243.2,Romain DUMAS,Neel JANI,Marc LIEB
Toyota Gazoo Racing #6,2,2,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,H,LeMans,24,2016,381,24:03:32.958,3 Laps,3 Laps,Michelin,Classified,81.0,3:21.445,243.6,Stéphane SARRAZIN,Mike CONWAY,Kamui KOBAYASHI
Audi Sport Team Joest #8,3,3,Audi Sport Team Joest,Audi R18,LMP1,H,LeMans,24,2016,372,24:03:30.210,12 Laps,9 Laps,Michelin,Classified,358.0,3:22.206,242.6,Lucas DI GRASSI,Loïc DUVAL,Oliver JARVIS
Audi Sport Team Joest #7,4,4,Audi Sport Team Joest,Audi R18,LMP1,H,LeMans,24,2016,367,24:02:28.842,17 Laps,5 Laps,Michelin,Classified,211.0,3:23.043,241.6,Marcel FÄSSLER,André LOTTERER,Benoît TRÉLUYER
Signatech Alpine #36,5,1,Signatech Alpine,Alpine A460 - Nissan,LMP2,,LeMans,24,2016,357,24:00:39.911,27 Laps,10 Laps,Dunlop,Classified,117.0,3:37.195,225.9,Gustavo MENEZES,Nicolas LAPIERRE,Stéphane RICHELMI
G-Drive Racing #26,6,2,G-Drive Racing,Oreca 05 - Nissan,LMP2,,LeMans,24,2016,357,24:03:20.551,27 Laps,2'40.640,Dunlop,Classified,345.0,3:36.558,226.6,Roman RUSINOV,Will STEVENS,René RAST
SMP Racing #37,7,3,SMP Racing,BR01 - Nissan,LMP2,,LeMans,24,2016,353,24:03:16.118,31 Laps,4 Laps,Dunlop,Classified,297.0,3:40.065,223.0,Vitaly PETROV,Victor SHAITAR,Kirill LADYGIN
Strakka Racing #42,8,4,Strakka Racing,Gibson 015S - Nissan,LMP2,,LeMans,24,2016,351,24:01:54.016,33 Laps,2 Laps,Dunlop,Classified,265.0,3:38.795,224.2,Nick LEVENTIS,Danny WATTS,Jonny KANE
Eurasia Motorsport #33,9,5,Eurasia Motorsport,Oreca 05 - Nissan,LMP2,,LeMans,24,2016,348,24:03:02.532,36 Laps,3 Laps,Dunlop,Classified,251.0,3:38.605,224.4,Junjin PU,Tristan GOMMENDY,Nico Pieter DE BRUIJN
Greaves Motorsport #41,10,6,Greaves Motorsport,Ligier JS P2 - Nissan,LMP2,,LeMans,24,2016,348,24:03:55.150,36 Laps,52.618,Dunlop,Classified,198.0,3:41.806,221.2,Memo ROJAS,Julien CANAL,Nathanaël BERTHON
SMP Racing #27,11,7,SMP Racing,BR01 - Nissan,LMP2,,LeMans,24,2016,347,24:01:29.276,37 Laps,1 Laps,Dunlop,Classified,315.0,3:39.445,223.6,Nicolas MINASSIAN,Maurizio MEDIANI,Mikhail ALESHIN
Panis Barthez Competition #23,12,8,Panis Barthez Competition,Ligier JS P2 - Nissan,LMP2,,LeMans,24,2016,347,24:03:19.601,37 Laps,1'50.325,Michelin,Classified,238.0,3:39.629,223.4,Fabien BARTHEZ,Paul Loup CHATIN,Timothé BURET
Porsche Team #1,13,5,Porsche Team,Porsche 919 Hybrid,LMP1,H,LeMans,24,2016,346,24:01:42.207,38 Laps,1 Laps,Michelin,Classified,74.0,3:21.816,243.1,Timo BERNHARD,Mark WEBBER,Brendon HARTLEY
Michael Shank Racing #49,14,9,Michael Shank Racing,Ligier JS P2 - Honda,LMP2,,LeMans,24,2016,345,24:01:00.289,39 Laps,1 Laps,Dunlop,Classified,276.0,3:37.339,225.8,John PEW,Oswaldo NEGRI JR,Laurens VANTHOOR
RGR Sport by Morand #43,15,10,RGR Sport by Morand,Ligier JS P2 - Nissan,LMP2,,LeMans,24,2016,344,24:03:05.467,40 Laps,1 Laps,Dunlop,Classified,239.0,3:38.734,224.3,Ricardo GONZALEZ,Bruno SENNA,Filipe ALBUQUERQUE
Extreme Speed Motorsports #30,16,11,Extreme Speed Motorsports,Ligier JS P2 - Nissan,LMP2,,LeMans,24,2016,341,24:02:25.019,43 Laps,3 Laps,Dunlop,Classified,284.0,3:42.146,220.9,Scott SHARP,Ed BROWN,Johannes VAN OVERBEEK
Algarve Pro Racing #25,17,12,Algarve Pro Racing,Ligier JS P2 - Nissan,LMP2,,LeMans,24,2016,341,24:02:34.836,43 Laps,9.817,Dunlop,Classified,244.0,3:40.450,222.6,Michael MUNEMANN,Christopher HOY,Andrea PIZZITOLA
Ford Chip Ganassi Team USA #68,18,1,Ford Chip Ganassi Team USA,Ford GT,LMGTE Pro,,LeMans,24,2016,340,24:01:51.591,44 Laps,1 Laps,Michelin,Classified,311.0,3:51.840,211.6,Joey HAND,Dirk MÜLLER,Sébastien BOURDAIS
Risi Competizione #82,19,2,Risi Competizione,Ferrari 488 GTE,LMGTE Pro,,LeMans,24,2016,340,24:02:01.791,44 Laps,10.200,Michelin,Classified,194.0,3:52.269,211.2,Giancarlo FISICHELLA,Toni VILANDER,Matteo MALUCELLI
Ford Chip Ganassi Team USA #69,20,3,Ford Chip Ganassi Team USA,Ford GT,LMGTE Pro,,LeMans,24,2016,340,24:02:06.385,44 Laps,4.594,Michelin,Classified,329.0,3:51.514,211.9,Ryan BRISCOE,Richard WESTBROOK,Scott DIXON
Ford Chip Ganassi Team UK #66,21,4,Ford Chip Ganassi Team UK,Ford GT,LMGTE Pro,,LeMans,24,2016,339,24:03:54.438,45 Laps,1 Laps,Michelin,Classified,282.0,3:51.582,211.9,Olivier PLA,Stefan MÜCKE,Billy JOHNSON
