car,overall_position,class_position,team,vehicle,class,race,event_duration,season,laps,total_time,gap_first,gap_car_ahead,tyres,status,fl_lap_number,fl_time,fl_kph_average,season_race,fl_time_seconds
Cetilar Racing #47,11,8,Cetilar Racing,Dallara P217 - Gibson,LMP2,Cota,6,2019-2020,178,6:01:59.800,11 Laps,1 Laps,Michelin,Classified,121.0,00:01:55.681000,171.6,Cota-2019-2020,115.681
DragonSpeed #21,12,9,DragonSpeed,Oreca 07 - Gibson,LMP2,Cota,6,2019-2020,177,6:02:19.047,12 Laps,1 Laps,Michelin,Classified,5.0,00:01:54.715000,173.0,Cota-2019-2020,114.715
Aston Martin Racing #95,13,1,Aston Martin Racing,Aston Martin Vantage AMR,LMGTE Pro,Cota,6,2019-2020,173,6:03:45.630,16 Laps,4 Laps,Michelin,Classified,4.0,00:02:02.522000,162.0,Cota-2019-2020,122.522
Porsche GT Team #92,14,2,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,Cota,6,2019-2020,172,6:01:39.601,17 Laps,1 Laps,Michelin,Classified,95.0,00:02:03.071000,161.3,Cota-2019-2020,123.071
AF Corse #51,15,3,AF Corse,Ferrari 488 GTE EVO,LMGTE Pro,Cota,6,2019-2020,172,6:01:47.544,17 Laps,7.943,Michelin,Classified,4.0,00:02:02.917000,161.5,Cota-2019-2020,122.917
Aston Martin Racing #97,16,4,Aston Martin Racing,Aston Martin Vantage AMR,LMGTE Pro,Cota,6,2019-2020,172,6:02:00.827,17 Laps,13.283,Michelin,Classified,3.0,00:02:02.750000,161.7,Cota-2019-2020,122.75
AF Corse #71,17,5,AF Corse,Ferrari 488 GTE EVO,LMGTE Pro,Cota,6,2019-2020,172,6:03:15.966,17 Laps,1'15.139,Michelin,Classified,5.0,00:02:03.120000,161.2,Cota-2019-2020,123.12
Corvette Racing #63,18,6,Corvette Racing,Chevrolet Corvette C8.R,LMGTE Pro,Cota,6,2019-2020,170,6:01:50.640,19 Laps,2 Laps,Michelin,Classified,5.0,00:02:04.020000,160.0,Cota-2019-2020,124.02
TF Sport #90,19,1,TF Sport,Aston Martin Vantage AMR,LMGTE Am,Cota,6,2019-2020,170,6:03:11.698,19 Laps,1'21.058,Michelin,Classified,111.0,00:02:03.967000,160.1,Cota-2019-2020,123.967
Aston Martin Racing #98,20,2,Aston Martin Racing,Aston Martin Vantage AMR,LMGTE Am,Cota,6,2019-2020,170,6:03:15.369,19 Laps,3.671,Michelin,Classified,115.0,00:02:03.850000,160.2,Cota-2019-2020,123.85
Porsche GT Team #91,21,7,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,Cota,6,2019-2020,170,6:03:29.081,19 Laps,13.712,Michelin,Classified,129.0,00:02:02.977000,161.4,Cota-2019-2020,122.977
Team Project 1 #56,22,3,Team Project 1,Porsche 911 RSR,LMGTE Am,Cota,6,2019-2020,170,6:03:32.925,19 Laps,3.844,Michelin,Classified,160.0,00:02:03.926000,160.2,Cota-2019-2020,123.926
AF Corse #83,23,4,AF Corse,Ferrari 488 GTE EVO,LMGTE Am,Cota,6,2019-2020,170,6:03:35.598,19 Laps,2.673,Michelin,Classified,151.0,00:02:03.579000,160.6,Cota-2019-2020,123.579
Dempsey - Proton Racing #77,24,5,Dempsey - Proton Racing,Porsche 911 RSR,LMGTE Am,Cota,6,2019-2020,169,6:02:25.223,20 Laps,1 Laps,Michelin,Classified,157.0,00:02:03.508000,160.7,Cota-2019-2020,123.508
Gulf Racing #86,25,6,Gulf Racing,Porsche 911 RSR,LMGTE Am,Cota,6,2019-2020,169,6:02:39.986,20 Laps,14.763,Michelin,Classified,113.0,00:02:03.702000,160.4,Cota-2019-2020,123.702
AF Corse #54,26,7,AF Corse,Ferrari 488 GTE EVO,LMGTE Am,Cota,6,2019-2020,168,6:01:54.536,21 Laps,1 Laps,Michelin,Classified,157.0,00:02:04.014000,160.0,Cota-2019-2020,124.014
Red River Sport #62,27,8,Red River Sport,Ferrari 488 GTE EVO,LMGTE Am,Cota,6,2019-2020,168,6:02:06.457,21 Laps,11.921,Michelin,Classified,159.0,00:02:04.016000,160.0,Cota-2019-2020,124.016
Dempsey - Proton Racing #88,28,9,Dempsey - Proton Racing,Porsche 911 RSR,LMGTE Am,Cota,6,2019-2020,168,6:02:41.040,21 Laps,34.583,Michelin,Classified,141.0,00:02:04.078000,160.0,Cota-2019-2020,124.078
MR Racing #70,29,10,MR Racing,Ferrari 488 GTE EVO,LMGTE Am,Cota,6,2019-2020,168,6:02:55.469,21 Laps,14.429,Michelin,Classified,155.0,00:02:03.603000,160.6,Cota-2019-2020,123.603
Team Project 1 #57,30,11,Team Project 1,Porsche 911 RSR,LMGTE Am,Cota,6,2019-2020,160,6:03:24.507,29 Laps,8 Laps,Michelin,Classified,130.0,00:02:04.602000,159.3,Cota-2019-2020,124.602
Toyota Gazoo Racing #8,1,1,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,LeMans,24,2019-2020,387,24:01:45.305,0,0,Michelin,Classified,3.0,00:03:19.762000,245.6,LeMans-2019-2020,199.762
Rebellion Racing #1,2,2,Rebellion Racing,Rebellion R13 - Gibson,LMP1,LeMans,24,2019-2020,382,24:03:05.492,5 Laps,5 Laps,Michelin,Classified,4.0,00:03:19.264000,246.2,LeMans-2019-2020,199.264
Toyota Gazoo Racing #7,3,3,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,LeMans,24,2019-2020,381,24:03:18.565,6 Laps,1 Laps,Michelin,Classified,4.0,00:03:19.357000,246.1,LeMans-2019-2020,199.357
Rebellion Racing #3,4,4,Rebellion Racing,Rebellion R13 - Gibson,LMP1,LeMans,24,2019-2020,381,24:04:27.973,6 Laps,1'09.408,Michelin,Classified,318.0,00:03:21.854000,243.0,LeMans-2019-2020,201.854
United Autosports #22,5,1,United Autosports,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,370,24:02:33.577,17 Laps,11 Laps,Michelin,Classified,3.0,00:03:29.709000,233.9,LeMans-2019-2020,209.709
JOTA #38,6,2,JOTA,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,370,24:03:06.408,17 Laps,32.831,Goodyear,Classified,251.0,00:03:30.452000,233.1,LeMans-2019-2020,210.452
Panis Racing #31,7,3,Panis Racing,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,368,24:01:57.436,19 Laps,2 Laps,Goodyear,Classified,298.0,00:03:29.689000,233.9,LeMans-2019-2020,209.689
Signatech Alpine ELF #36,8,4,Signatech Alpine ELF,Alpine A470 - Gibson,LMP2,LeMans,24,2019-2020,367,24:03:13.572,20 Laps,1 Laps,Michelin,Classified,333.0,00:03:29.750000,233.9,LeMans-2019-2020,209.75
G-Drive Racing #26,9,5,G-Drive Racing,Aurus 01 - Gibson,LMP2,LeMans,24,2019-2020,367,24:04:11.150,20 Laps,57.578,Michelin,Classified,314.0,00:03:28.821000,234.9,LeMans-2019-2020,208.821
IDEC Sport #28,10,6,IDEC Sport,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,366,24:02:57.605,21 Laps,1 Laps,Michelin,Classified,277.0,00:03:29.599000,234.0,LeMans-2019-2020,209.599
Algarve Pro Racing #25,11,7,Algarve Pro Racing,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,365,24:05:13.245,22 Laps,1 Laps,Goodyear,Classified,3.0,00:03:31.567000,231.9,LeMans-2019-2020,211.567
Cool Racing #42,12,8,Cool Racing,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,365,24:05:45.485,22 Laps,32.240,Michelin,Classified,339.0,00:03:29.424000,234.2,LeMans-2019-2020,209.424
Richard Mille Racing Team #50,13,9,Richard Mille Racing Team,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,364,24:02:34.603,23 Laps,1 Laps,Michelin,Classified,267.0,00:03:32.231000,231.1,LeMans-2019-2020,212.231
Cetilar Racing #47,14,10,Cetilar Racing,Dallara P217 - Gibson,LMP2,LeMans,24,2019-2020,363,24:03:34.377,24 Laps,1 Laps,Michelin,Classified,297.0,00:03:32.261000,231.1,LeMans-2019-2020,212.261
IDEC Sport #17,15,11,IDEC Sport,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,363,24:04:26.139,24 Laps,51.762,Michelin,Classified,193.0,00:03:29.609000,234.0,LeMans-2019-2020,209.609
DragonSpeed USA #27,16,12,DragonSpeed USA,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,361,24:03:47.200,26 Laps,2 Laps,Michelin,Classified,330.0,00:03:29.500000,234.1,LeMans-2019-2020,209.5
United Autosports #32,17,13,United Autosports,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,359,24:02:34.108,28 Laps,2 Laps,Michelin,Classified,248.0,00:03:27.508000,236.4,LeMans-2019-2020,207.508
Eurasia Motorsport #35,18,14,Eurasia Motorsport,Ligier JSP217 - Gibson,LMP2,LeMans,24,2019-2020,351,24:01:57.100,36 Laps,8 Laps,Michelin,Classified,320.0,00:03:32.415000,230.9,LeMans-2019-2020,212.415
Racing Team Nederland #29,19,15,Racing Team Nederland,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,349,24:02:13.424,38 Laps,2 Laps,Michelin,Classified,142.0,00:03:28.983000,234.7,LeMans-2019-2020,208.983
Aston Martin Racing #97,20,1,Aston Martin Racing,Aston Martin Vantage AMR,LMGTE Pro,LeMans,24,2019-2020,346,24:03:11.428,41 Laps,3 Laps,Michelin,Classified,182.0,00:03:50.321000,213.0,LeMans-2019-2020,230.321
AF Corse #51,21,2,AF Corse,Ferrari 488 GTE Evo,LMGTE Pro,LeMans,24,2019-2020,346,24:04:44.592,41 Laps,1'33.164,Michelin,Classified,114.0,00:03:51.002000,212.4,LeMans-2019-2020,231.002
Aston Martin Racing #95,22,3,Aston Martin Racing,Aston Martin Vantage AMR,LMGTE Pro,LeMans,24,2019-2020,343,24:03:11.461,44 Laps,3 Laps,Michelin,Classified,223.0,00:03:51.277000,212.1,LeMans-2019-2020,231.277
Risi Competizione #82,23,4,Risi Competizione,Ferrari 488 GTE Evo,LMGTE Pro,LeMans,24,2019-2020,339,24:02:47.574,48 Laps,4 Laps,Michelin,Classified,280.0,00:03:51.408000,212.0,LeMans-2019-2020,231.408
TF Sport #90,24,1,TF Sport,Aston Martin Vantage AMR,LMGTE Am,LeMans,24,2019-2020,339,24:04:20.981,48 Laps,1'33.407,Michelin,Classified,164.0,00:03:53.055000,210.5,LeMans-2019-2020,233.055
Dempsey - Proton Racing #77,25,2,Dempsey - Proton Racing,Porsche 911 RSR,LMGTE Am,LeMans,24,2019-2020,339,24:05:10.733,48 Laps,49.752,Michelin,Classified,168.0,00:03:53.747000,209.9,LeMans-2019-2020,233.747
AF Corse #83,26,3,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,LeMans,24,2019-2020,339,24:05:13.780,48 Laps,3.047,Michelin,Classified,39.0,00:03:54.303000,209.4,LeMans-2019-2020,234.303
Team Project 1 #56,27,4,Team Project 1,Porsche 911 RSR,LMGTE Am,LeMans,24,2019-2020,339,24:05:22.100,48 Laps,8.320,Michelin,Classified,2.0,00:03:53.434000,210.1,LeMans-2019-2020,233.434
Nielsen Racing #24,28,16,Nielsen Racing,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,338,24:01:53.228,49 Laps,1 Laps,Michelin,Classified,284.0,00:03:30.858000,232.6,LeMans-2019-2020,210.858
Gulf Racing #86,29,5,Gulf Racing,Porsche 911 RSR,LMGTE Am,LeMans,24,2019-2020,337,24:05:18.281,50 Laps,1 Laps,Michelin,Classified,3.0,00:03:53.928000,209.7,LeMans-2019-2020,233.928
JMW Motorsport #66,30,6,JMW Motorsport,Ferrari 488 GTE Evo,LMGTE Am,LeMans,24,2019-2020,335,24:02:26.468,52 Laps,2 Laps,Michelin,Classified,279.0,00:03:55.302000,208.5,LeMans-2019-2020,235.302
Porsche GT Team #91,31,5,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,LeMans,24,2019-2020,335,24:02:32.655,52 Laps,6.187,Michelin,Classified,224.0,00:03:52.695000,210.8,LeMans-2019-2020,232.695
Luzich Racing #61,32,7,Luzich Racing,Ferrari 488 GTE Evo,LMGTE Am,LeMans,24,2019-2020,335,24:05:16.339,52 Laps,2'43.684,Michelin,Classified,170.0,00:03:53.847000,209.8,LeMans-2019-2020,233.847
Aston Martin Racing #98,33,8,Aston Martin Racing,Aston Martin Vantage AMR,LMGTE Am,LeMans,24,2019-2020,333,24:04:11.477,54 Laps,2 Laps,Michelin,Classified,2.0,00:03:52.449000,211.0,LeMans-2019-2020,232.449
Iron Lynx #85,34,9,Iron Lynx,Ferrari 488 GTE Evo,LMGTE Am,LeMans,24,2019-2020,332,24:02:08.755,55 Laps,1 Laps,Michelin,Classified,211.0,00:03:55.910000,207.9,LeMans-2019-2020,235.91
Porsche GT Team #92,35,6,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,LeMans,24,2019-2020,331,24:02:11.979,56 Laps,1 Laps,Michelin,Classified,101.0,00:03:52.136000,211.3,LeMans-2019-2020,232.136
Dempsey - Proton Racing #99,36,10,Dempsey - Proton Racing,Porsche 911 RSR,LMGTE Am,LeMans,24,2019-2020,331,24:03:35.684,56 Laps,1'23.705,Michelin,Classified,164.0,00:03:54.210000,209.4,LeMans-2019-2020,234.21
Iron Lynx #60,37,11,Iron Lynx,Ferrari 488 GTE Evo,LMGTE Am,LeMans,24,2019-2020,331,24:05:10.804,56 Laps,1'35.120,Michelin,Classified,128.0,00:03:55.180000,208.6,LeMans-2019-2020,235.18
Proton Competition #78,38,12,Proton Competition,Porsche 911 RSR,LMGTE Am,LeMans,24,2019-2020,330,24:02:09.310,57 Laps,1 Laps,Michelin,Classified,165.0,00:03:56.086000,207.8,LeMans-2019-2020,236.086
AF Corse #54,39,13,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,LeMans,24,2019-2020,330,24:03:20.670,57 Laps,1'11.360,Michelin,Classified,226.0,00:03:54.199000,209.5,LeMans-2019-2020,234.199
Team Project 1 #57,40,14,Team Project 1,Porsche 911 RSR,LMGTE Am,LeMans,24,2019-2020,326,24:04:13.737,61 Laps,4 Laps,Michelin,Classified,147.0,00:03:54.315000,209.3,LeMans-2019-2020,234.315
Red River Sport #62,41,15,Red River Sport,Ferrari 488 GTE Evo,LMGTE Am,LeMans,24,2019-2020,325,24:03:26.422,62 Laps,1 Laps,Michelin,Classified,65.0,00:03:57.558000,206.5,LeMans-2019-2020,237.558
Inter Europol Competition #34,42,17,Inter Europol Competition,Ligier JSP217 - Gibson,LMP2,LeMans,24,2019-2020,316,24:03:57.784,71 Laps,9 Laps,Michelin,Classified,71.0,00:03:34.600000,228.6,LeMans-2019-2020,214.6
Team Project 1 #89,43,16,Team Project 1,Porsche 911 RSR,LMGTE Am,LeMans,24,2019-2020,313,24:02:46.180,74 Laps,3 Laps,Michelin,Classified,288.0,00:03:56.621000,207.3,LeMans-2019-2020,236.621
SO24-Has by Graff #39,44,18,SO24-Has by Graff,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,357,23:15:48.615,30 Laps,-44 Laps,Michelin,Not classified,3.0,00:03:30.423000,233.1,LeMans-2019-2020,210.423
AF Corse #71,45,7,AF Corse,Ferrari 488 GTE Evo,LMGTE Pro,LeMans,24,2019-2020,340,23:58:50.020,47 Laps,17 Laps,Michelin,Not classified,219.0,00:03:52.059000,211.4,LeMans-2019-2020,232.059
Hub Auto Racing #72,46,17,Hub Auto Racing,Ferrari 488 GTE Evo,LMGTE Am,LeMans,24,2019-2020,273,20:06:06.609,114 Laps,67 Laps,Michelin,Not classified,271.0,00:03:53.878000,209.7,LeMans-2019-2020,233.878
Dempsey - Proton Racing #88,47,18,Dempsey - Proton Racing,Porsche 911 RSR,LMGTE Am,LeMans,24,2019-2020,238,24:06:00.292,149 Laps,35 Laps,Michelin,Not classified,4.0,00:03:55.339000,208.4,LeMans-2019-2020,235.339
Iron Lynx #75,48,19,Iron Lynx,Ferrari 488 GTE Evo,LMGTE Am,LeMans,24,2019-2020,211,15:42:35.591,176 Laps,27 Laps,Michelin,Not classified,193.0,00:03:54.734000,209.0,LeMans-2019-2020,234.734
DragonSpeed USA #21,49,19,DragonSpeed USA,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,192,12:57:52.187,195 Laps,19 Laps,Michelin,Retired,173.0,00:03:31.584000,231.8,LeMans-2019-2020,211.584
WeatherTech Racing #63,50,8,WeatherTech Racing,Ferrari 488 GTE Evo,LMGTE Pro,LeMans,24,2019-2020,185,13:41:12.528,202 Laps,7 Laps,Michelin,Retired,3.0,00:03:52.056000,211.4,LeMans-2019-2020,232.056
MR Racing #70,51,20,MR Racing,Ferrari 488 GTE Evo,LMGTE Am,LeMans,24,2019-2020,172,13:23:15.074,215 Laps,13 Laps,Michelin,Retired,151.0,00:03:53.677000,209.9,LeMans-2019-2020,233.677
G-Drive Racing by Algarve #16,52,20,G-Drive Racing by Algarve,Aurus 01 - Gibson,LMP2,LeMans,24,2019-2020,105,7:44:11.624,282 Laps,67 Laps,Goodyear,Retired,45.0,00:03:30.570000,233.0,LeMans-2019-2020,210.57
Duqueine Team #30,53,21,Duqueine Team,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,100,6:30:06.632,287 Laps,5 Laps,Michelin,Retired,46.0,00:03:31.429000,232.0,LeMans-2019-2020,211.429
Bykolles Racing Team #4,54,5,Bykolles Racing Team,ENSO CLM P1/01 - Gibson,LMP1,LeMans,24,2019-2020,97,6:49:35.608,290 Laps,3 Laps,Michelin,Retired,4.0,00:03:27.680000,236.2,LeMans-2019-2020,207.68
High Class Racing #33,55,22,High Class Racing,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,88,11:33:21.552,299 Laps,9 Laps,Michelin,Retired,3.0,00:03:31.018000,232.5,LeMans-2019-2020,211.018
AF Corse #52,56,21,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,LeMans,24,2019-2020,80,5:40:44.154,307 Laps,8 Laps,Michelin,Retired,65.0,00:04:02.204000,202.5,LeMans-2019-2020,242.204
Spirit of Race #55,57,22,Spirit of Race,Ferrari 488 GTE Evo,LMGTE Am,LeMans,24,2019-2020,78,6:20:12.957,309 Laps,2 Laps,Michelin,Retired,9.0,00:03:55.891000,208.0,LeMans-2019-2020,235.891
Eurointernational #11,58,23,Eurointernational,Ligier JSP217 - Gibson,LMP2,LeMans,24,2019-2020,26,1:40:32.248,361 Laps,52 Laps,Michelin,Retired,5.0,00:03:35.008000,228.1,LeMans-2019-2020,215.008
Jackie Chan DC Racing #37,59,24,Jackie Chan DC Racing,Oreca 07 - Gibson,LMP2,LeMans,24,2019-2020,141,10:51:53.595,246 Laps,-115 Laps,Goodyear,Classified,122.0,00:03:30.490000,233.0,LeMans-2019-2020,210.49
Toyota Gazoo Racing #7,1,1,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,Spa,6,2019-2020,143,6:00:02.534,0,0,Michelin,Classified,35.0,00:02:02.239000,206.3,Spa-2019-2020,122.239
Toyota Gazoo Racing #8,2,2,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,Spa,6,2019-2020,143,6:00:36.704,34.170,34.170,Michelin,Classified,89.0,00:02:02.310000,206.1,Spa-2019-2020,122.31
Rebellion Racing #1,3,3,Rebellion Racing,Rebellion R13 - Gibson,LMP1,Spa,6,2019-2020,142,6:00:34.722,1 Laps,1 Laps,Michelin,Classified,86.0,00:02:02.154000,206.4,Spa-2019-2020,122.154
United Autosports #22,4,1,United Autosports,Oreca 07 - Gibson,LMP2,Spa,6,2019-2020,140,6:01:53.374,3 Laps,2 Laps,Michelin,Classified,124.0,00:02:06.339000,199.6,Spa-2019-2020,126.339
Cool Racing #42,5,2,Cool Racing,Oreca 07 - Gibson,LMP2,Spa,6,2019-2020,139,6:00:44.691,4 Laps,1 Laps,Michelin,Classified,90.0,00:02:07.141000,198.3,Spa-2019-2020,127.141
Racing Team Nederland #29,6,3,Racing Team Nederland,Oreca 07 - Gibson,LMP2,Spa,6,2019-2020,139,6:00:55.007,4 Laps,10.316,Michelin,Classified,34.0,00:02:06.646000,199.1,Spa-2019-2020,126.646
JOTA #38,7,4,JOTA,Oreca 07 - Gibson,LMP2,Spa,6,2019-2020,139,6:01:32.622,4 Laps,37.615,Goodyear,Classified,113.0,00:02:05.601000,200.7,Spa-2019-2020,125.601
Cetilar Racing #47,8,5,Cetilar Racing,Dallara P217 - Gibson,LMP2,Spa,6,2019-2020,137,6:01:21.630,6 Laps,2 Laps,Michelin,Classified,34.0,00:02:08.185000,196.7,Spa-2019-2020,128.185
Porsche GT Team #92,9,1,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,Spa,6,2019-2020,135,6:00:21.491,8 Laps,2 Laps,Michelin,Classified,33.0,00:02:16.099000,185.3,Spa-2019-2020,136.099
Aston Martin Racing #95,10,2,Aston Martin Racing,Aston Martin Vantage AMR,LMGTE Pro,Spa,6,2019-2020,135,6:00:27.114,8 Laps,5.623,Michelin,Classified,103.0,00:02:16.263000,185.0,Spa-2019-2020,136.263
Aston Martin Racing #97,11,3,Aston Martin Racing,Aston Martin Vantage AMR,LMGTE Pro,Spa,6,2019-2020,135,6:00:56.608,8 Laps,29.494,Michelin,Classified,115.0,00:02:16.495000,184.7,Spa-2019-2020,136.495
AF Corse #51,12,4,AF Corse,Ferrari 488 GTE Evo,LMGTE Pro,Spa,6,2019-2020,135,6:00:58.114,8 Laps,1.506,Michelin,Classified,112.0,00:02:16.642000,184.5,Spa-2019-2020,136.642
Porsche GT Team #91,13,5,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,Spa,6,2019-2020,135,6:00:58.481,8 Laps,0.367,Michelin,Classified,113.0,00:02:16.539000,184.7,Spa-2019-2020,136.539
AF Corse #71,14,6,AF Corse,Ferrari 488 GTE Evo,LMGTE Pro,Spa,6,2019-2020,135,6:01:22.364,8 Laps,23.883,Michelin,Classified,112.0,00:02:17.540000,183.3,Spa-2019-2020,137.54
AF Corse #83,15,1,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,Spa,6,2019-2020,134,6:01:09.883,9 Laps,1 Laps,Michelin,Classified,83.0,00:02:17.731000,183.1,Spa-2019-2020,137.731
Dempsey - Proton Racing #77,16,2,Dempsey - Proton Racing,Porsche 911 RSR,LMGTE Am,Spa,6,2019-2020,134,6:01:12.781,9 Laps,2.898,Michelin,Classified,111.0,00:02:17.639000,183.2,Spa-2019-2020,137.639
TF Sport #90,17,3,TF Sport,Aston Martin Vantage AMR,LMGTE Am,Spa,6,2019-2020,134,6:02:06.034,9 Laps,53.253,Michelin,Classified,112.0,00:02:18.075000,182.6,Spa-2019-2020,138.075
Team Project 1 #56,18,4,Team Project 1,Porsche 911 RSR,LMGTE Am,Spa,6,2019-2020,133,6:00:13.350,10 Laps,1 Laps,Michelin,Classified,113.0,00:02:17.898000,182.8,Spa-2019-2020,137.898
Dempsey - Proton Racing #88,19,5,Dempsey - Proton Racing,Porsche 911 RSR,LMGTE Am,Spa,6,2019-2020,133,6:00:44.318,10 Laps,30.968,Michelin,Classified,82.0,00:02:18.943000,181.5,Spa-2019-2020,138.943
Team Project 1 #57,20,6,Team Project 1,Porsche 911 RSR,LMGTE Am,Spa,6,2019-2020,133,6:00:49.351,10 Laps,5.033,Michelin,Classified,83.0,00:02:18.007000,182.7,Spa-2019-2020,138.007
AF Corse #54,21,7,AF Corse,Ferrari 488 GTE Evo,LMGTE Am,Spa,6,2019-2020,133,6:01:34.818,10 Laps,45.467,Michelin,Classified,113.0,00:02:18.591000,181.9,Spa-2019-2020,138.591
Red River Sport #62,22,8,Red River Sport,Ferrari 488 GTE Evo,LMGTE Am,Spa,6,2019-2020,132,6:00:12.202,11 Laps,1 Laps,Michelin,Classified,109.0,00:02:18.301000,182.3,Spa-2019-2020,138.301
Jackie Chan DC Racing #37,23,6,Jackie Chan DC Racing,Oreca 07 - Gibson,LMP2,Spa,6,2019-2020,132,6:01:05.125,11 Laps,52.923,Goodyear,Classified,118.0,00:02:05.855000,200.3,Spa-2019-2020,125.855
High Class Racing #33,24,7,High Class Racing,Oreca 07 - Gibson,LMP2,Spa,6,2019-2020,132,6:01:42.853,11 Laps,37.728,Michelin,Classified,102.0,00:02:08.499000,196.2,Spa-2019-2020,128.499
Aston Martin Racing #98,25,9,Aston Martin Racing,Aston Martin Vantage AMR,LMGTE Am,Spa,6,2019-2020,131,6:02:11.873,12 Laps,1 Laps,Michelin,Classified,79.0,00:02:17.287000,183.7,Spa-2019-2020,137.287
Gulf Racing #86,26,10,Gulf Racing,Porsche 911 RSR,LMGTE Am,Spa,6,2019-2020,130,6:00:08.562,13 Laps,1 Laps,Michelin,Classified,116.0,00:02:18.446000,182.1,Spa-2019-2020,138.446
Bykolles Racing Team #4,27,4,Bykolles Racing Team,Enso CLM P1/01,LMP1,Spa,6,2019-2020,126,6:00:17.188,17 Laps,4 Laps,Michelin,Classified,37.0,00:02:05.044000,201.6,Spa-2019-2020,125.044
Eurasia Motorsport #35,28,8,Eurasia Motorsport,Ligier JSP217 - Gibson,LMP2,Spa,6,2019-2020,122,6:01:11.819,21 Laps,4 Laps,Michelin,Classified,102.0,00:02:06.943000,198.6,Spa-2019-2020,126.943
Signatech Alpine ELF #36,29,9,Signatech Alpine ELF,Alpine A470 - Gibson,LMP2,Spa,6,2019-2020,106,4:37:45.427,37 Laps,16 Laps,Michelin,Not classified,35.0,00:02:06.802000,198.8,Spa-2019-2020,126.802
Toyota Gazoo Racing #7,1,1,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,Bahrain,8,2019-2020,263,8:00:13.867,0,0,Michelin,Classified,203.0,00:01:42.637000,189.8,Bahrain-2019-2020,102.637
Toyota Gazoo Racing #8,2,3,Toyota Gazoo Racing,Toyota TS050 - Hybrid,LMP1,Bahrain,8,2019-2020,263,8:01:18.461,1'04.594,1'04.594,Michelin,Classified,151.0,00:01:42.833000,189.5,Bahrain-2019-2020,102.833
Jackie Chan DC Racing #37,3,1,Jackie Chan DC Racing,Oreca 07 - Gibson,LMP2,Bahrain,8,2019-2020,247,8:01:17.284,16 Laps,16 Laps,Goodyear,Classified,188.0,00:01:49.978000,177.2,Bahrain-2019-2020,109.978
JOTA #38,4,3,JOTA,Oreca 07 - Gibson,LMP2,Bahrain,8,2019-2020,247,8:01:19.178,16 Laps,1.894,Goodyear,Classified,209.0,00:01:48.801000,179.1,Bahrain-2019-2020,108.801
Racing Team Nederland #29,5,5,Racing Team Nederland,Oreca 07 - Gibson,LMP2,Bahrain,8,2019-2020,247,8:01:34.002,16 Laps,14.824,Michelin,Classified,184.0,00:01:49.813000,177.4,Bahrain-2019-2020,109.813
United Autosports #22,6,7,United Autosports,Oreca 07 - Gibson,LMP2,Bahrain,8,2019-2020,247,8:01:45.475,16 Laps,11.473,Michelin,Classified,207.0,00:01:49.371000,178.1,Bahrain-2019-2020,109.371
Signatech Alpine ELF #36,7,9,Signatech Alpine ELF,Alpine A470 - Gibson,LMP2,Bahrain,8,2019-2020,246,8:00:26.161,17 Laps,1 Laps,Michelin,Classified,134.0,00:01:48.838000,179.0,Bahrain-2019-2020,108.838
Porsche GT Team #92,8,1,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,Bahrain,8,2019-2020,235,8:00:44.676,28 Laps,11 Laps,Michelin,Classified,181.0,00:01:57.230000,166.2,Bahrain-2019-2020,117.23
Porsche GT Team #91,9,3,Porsche GT Team,Porsche 911 RSR - 19,LMGTE Pro,Bahrain,8,2019-2020,235,8:00:47.562,28 Laps,2.886,Michelin,Classified,179.0,00:01:57.169000,166.3,Bahrain-2019-2020,117.169
